State,County Name,current_votes,total_votes,percent
KY,Owsley County,1876,1896,100
KY,Pendleton County,6913,6925,100
KY,Perry County,10533,10626,100
KY,Pike County,25258,25395,100
KY,Powell County,5493,5505,100
KY,Pulaski County,31513,31557,100
KY,Robertson County,1139,1146,100
KY,Rockcastle County,7755,7784,100
KY,Rowan County,10042,10065,100
KY,Russell County,8916,8955,100
KY,Scott County,28967,28967,100
KY,Shelby County,23591,23591,100
KY,Simpson County,8699,8732,100
KY,Spencer County,11407,11433,100
KY,Taylor County,12496,12517,100
KY,Todd County,5332,5363,100
KY,Trigg County,7368,7376,100
KY,Trimble County,4302,4320,100
KY,Union County,6553,6577,100
KY,Warren County,55430,55430,100
KY,Washington County,6193,6225,100
KY,Wayne County,9150,9240,100
KY,Webster County,5976,5993,100
KY,Whitley County,15298,15356,100
KY,Wolfe County,2985,2985,100
KY,Woodford County,15249,15249,100
LA,Acadia Parish,27499,28425,100
LA,Allen Parish,9423,9810,100
LA,Ascension Parish,60627,62325,100
LA,Assumption Parish,10602,11235,100
LA,Avoyelles Parish,16313,17292,100
LA,Beauregard Parish,15755,16357,100
LA,Bienville Parish,6814,7050,100
LA,Bossier Parish,53200,54655,100
LA,Caddo Parish,102046,104912,100
LA,Calcasieu Parish,80267,82663,100
LA,Caldwell Parish,4586,4762,100
LA,Cameron Parish,3936,4039,100
LA,Catahoula Parish,4622,4858,100
LA,Claiborne Parish,6286,6580,100
LA,Concordia Parish,8252,8828,100
LA,De Soto Parish,14336,14736,100
LA,East Baton Rouge Parish,203954,208182,100
LA,East Carroll Parish,2868,3036,100
LA,East Feliciana Parish,10097,10509,100
LA,Evangeline Parish,14375,15412,100
LA,Franklin Parish,9307,9720,100
LA,Grant Parish,9047,9392,100
LA,Iberia Parish,31180,32713,100
LA,Iberville Parish,15818,16719,100
LA,Jackson Parish,7406,7632,100
LA,Jefferson Parish,185983,193733,100
LA,Jefferson Davis Parish,14359,14841,100
LA,Lafayette Parish,111505,114521,100
LA,Lafourche Parish,43702,45388,100
LA,LaSalle Parish,6845,7077,100
LA,Lincoln Parish,18656,19275,100
LA,Livingston Parish,63764,65230,100
LA,Madison Parish,4441,4670,100
LA,Morehouse Parish,10932,11574,100
LA,Natchitoches Parish,15985,16554,100
LA,Orleans Parish,167935,177819,100
LA,Ouachita Parish,66726,69166,100
LA,Plaquemines Parish,10648,11014,100
LA,Pointe Coupee Parish,11762,12371,100
LA,Rapides Parish,56648,58865,100
LA,Red River Parish,3995,4132,100
LA,Richland Parish,9424,9940,100
LA,Sabine Parish,10180,10596,100
LA,St. Bernard Parish,16859,17650,100
LA,St. Charles Parish,27462,28517,100
LA,St. Helena Parish,5809,6158,100
LA,St. James Parish,11882,12590,100
LA,St. John the Baptist Parish,20295,21432,100
LA,St. Landry Parish,38917,41154,100
LA,St. Martin Parish,25861,27038,100
LA,St. Mary Parish,22203,23186,100
LA,St. Tammany Parish,136953,140110,100
LA,Tangipahoa Parish,55831,57661,100
LA,Tensas Parish,2404,2554,100
LA,Terrebonne Parish,44421,46240,100
LA,Union Parish,10712,11201,100
LA,Vermilion Parish,26181,27324,100
LA,Vernon Parish,16569,17268,100
LA,Washington Parish,18858,19513,100
LA,Webster Parish,17652,18216,100
LA,West Baton Rouge Parish,13711,14097,100
LA,West Carroll Parish,4831,5052,100
LA,West Feliciana Parish,6084,6268,100
LA,Winn Parish,5942,6225,100
ME,Aroostook Cty Townships,290,292,100
ME,Franklin Cty Townships,52,52,100
ME,Hancock Cty Townships,13,13,100
ME,Oxford Cty Townships,325,333,100
ME,Penobscot Cty Townships,506,506,100
ME,Piscataquis Cty Townshps,84,87,100
ME,Somerset Cty Townships,243,243,100
ME,Washington Cty Townships,30,30,100
ME,Indian Township Vtng Dst,262,263,100
ME,Oxbow Plt.,35,35,100
ME,Pleasant Point Votng Dst,233,235,100
ME,Auburn,12285,12285,100
ME,Durham,2803,2803,100
ME,Greene,2642,2642,100
ME,Leeds,1362,1362,100
ME,Lewiston,17380,17388,100
ME,Lisbon,5251,5251,100
ME,Livermore,1379,1394,100
ME,Livermore Falls,1394,1531,91
ME,Mechanic Falls,1696,1703,100
ME,Minot,1776,1776,100
ME,Poland,3501,3519,100
ME,Sabattus,2886,2886,100
ME,Turner,3423,3428,100
ME,Wales,912,915,100
ME,Allagash,164,169,100
ME,Amity,124,124,100
ME,Ashland,605,615,100
ME,Blaine,393,400,100
ME,Bridgewater,290,292,100
ME,Caribou,3999,4024,100
ME,Cary Plt.,0,0,100
ME,Castle Hill,233,233,100
ME,Caswell,136,136,100
ME,Chapman,277,279,100
ME,Crystal,161,164,100
ME,Cyr Plt.,57,57,100
ME,Dyer Brook,150,150,100
ME,Eagle Lake,462,462,100
ME,Easton,713,715,100
ME,Fort Fairfield,1701,1701,100
ME,Fort Kent,2259,2266,100
ME,Frenchville,605,605,100
ME,Garfield Plt.,56,56,100
ME,Glenwood Plt.,1,1,100
ME,Grand Isle,230,232,100
ME,Hamlin,109,109,100
ME,Hammond,47,47,100
ME,Haynesville,62,63,100
ME,Hersey,39,42,100
ME,Hodgdon,805,812,100
ME,Houlton,2723,2740,100
ME,Island Falls,450,450,100
ME,Limestone,762,765,100
ME,Linneus,500,508,100
ME,Littleton,522,531,100
ME,Ludlow,251,255,100
ME,Macwahoc Plt.,43,43,100
ME,Madawaska,2104,2112,100
ME,Mapleton,1153,1159,100
ME,Mars Hill,737,742,100
ME,Masardis,124,124,100
ME,Merrill,135,136,100
ME,Monticello,428,434,100
ME,Moro Plt.,28,29,100
ME,Nashville Plt.,23,23,100
ME,New Canada,155,159,100
ME,New Limerick,370,372,100
ME,New Sweden,352,352,100
ME,Oakfield,402,408,100
